Model,Make,YOM,Used,Transmission,Mileage,Location,Price,Age,Fuel_Type
X-Trail,Nissan,2014,Foreign Used,Automatic,80432,Mombasa,1950000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,144000,Nairobi,2050000,10,Petrol
Advan,Nissan,2014,Foreign Used,Automatic,130000,Mombasa,745000,10,Petrol
Teana,Nissan,2014,Foreign Used,Automatic,49000,Nairobi,1490000,10,Petrol
Wingroad,Nissan,2014,Foreign Used,Automatic,78000,Mombasa,850000,10,Petrol
Advan,Nissan,2014,Foreign Used,Automatic,65131,Mombasa,680000,10,Petrol
Juke,Nissan,2013,Foreign Used,Automatic,95362,Mombasa,1300000,11,Petrol
Teana,Nissan,2014,Foreign Used,Automatic,72000,Nairobi,1470000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,50000,Mombasa,1980000,10,Petrol
Lafesta,Nissan,2014,Foreign Used,Automatic,116000,Mombasa,950000,10,Petrol
March,Nissan,2013,Foreign Used,Automatic,76000,Mombasa,580000,11,Petrol
Note,Nissan,2014,Foreign Used,Automatic,76214,Mombasa,750000,10,Petrol
Latio,Nissan,2014,Foreign Used,Automatic,37000,Kiambu,890000,10,Petrol
March,Nissan,2013,Foreign Used,Automatic,73000,Mombasa,570000,11,Petrol
Bluebird,Nissan,2014,Foreign Used,Automatic,116000,Nairobi,1199000,10,Petrol
March,Nissan,2014,Foreign Used,Automatic,63000,Mombasa,620000,10,Petrol
Advan,Nissan,2014,Foreign Used,Automatic,76000,Nairobi,660000,10,Petrol
Lafesta,Nissan,2014,Foreign Used,Automatic,91000,Nairobi,1200000,10,Petrol
Serena,Nissan,2014,Foreign Used,Automatic,94562,Nairobi,1390000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,59000,Nairobi,1280000,10,Petrol
Serena,Nissan,2013,Foreign Used,Automatic,65000,Mombasa,2200000,11,Petrol
Note,Nissan,2014,Foreign Used,Automatic,100000,Mombasa,780000,10,Petrol
Note,Nissan,2014,Foreign Used,CVT,72000,Nairobi,795000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,68000,Nairobi,730000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,70000,Nairobi,755000,10,Petrol
Serena,Nissan,2014,Foreign Used,Automatic,128000,Nairobi,1350000,10,Petrol
Juke,Nissan,2015,Foreign Used,Automatic,86000,Mombasa,1350000,9,Petrol
Fuga,Nissan,2013,Foreign Used,Automatic,98636,Mombasa,1600000,11,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,96000,Nairobi,2050000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,84624,Nairobi,1300000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,92000,Nairobi,2250000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,106000,Nairobi,765000,10,Petrol
Teana,Nissan,2014,Foreign Used,Automatic,89000,Mombasa,1300000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,90500,Mombasa,750000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,95871,Mombasa,700000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,177000,Nairobi,715500,10,Petrol
Latio,Nissan,2014,Foreign Used,Automatic,74184,Mombasa,780000,10,Petrol
Note,Nissan,2014,Foreign Used,CVT,72000,Nairobi,795000,10,Petrol
Bluebird,Nissan,2013,Foreign Used,Automatic,74132,Mombasa,1250000,11,Petrol
Serena,Nissan,2014,Foreign Used,Automatic,78000,Nairobi,1380000,10,Petrol
Latio,Nissan,2014,Foreign Used,Automatic,41865,Mombasa,835000,10,Petrol
Latio,Nissan,2014,Foreign Used,Automatic,81000,Nairobi,870000,10,Petrol
Advan,Nissan,2014,Foreign Used,Automatic,72000,Mombasa,750000,10,Petrol
March,Nissan,2014,Foreign Used,Automatic,78000,Nairobi,660000,10,Petrol
Advan,Nissan,2014,Foreign Used,Automatic,120000,Nairobi,760000,10,Petrol
Teana,Nissan,2014,Foreign Used,Automatic,145000,Nairobi,1390000,10,Petrol
X-Trail,Nissan,2013,Foreign Used,Automatic,153000,Mombasa,1600000,11,Petrol
March,Nissan,2014,Foreign Used,Automatic,62828,Mombasa,680000,10,Petrol
Lafesta,Nissan,2014,Foreign Used,Automatic,93567,Mombasa,975000,10,Petrol
Juke,Nissan,2015,Foreign Used,Automatic,59430,Mombasa,1290000,9,Petrol
Juke,Nissan,2014,Foreign Used,Automatic,63811,Mombasa,1300000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,69400,Mombasa,1150000,10,Petrol
Lafesta,Nissan,2014,Foreign Used,Automatic,77205,Mombasa,1080000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,58000,Mombasa,780000,10,Petrol
Note,Nissan,2015,Foreign Used,Automatic,93000,Nairobi,870000,9,Petrol
Note,Nissan,2015,Foreign Used,Automatic,96494,Nairobi,840000,9,Petrol
March,Nissan,2014,Foreign Used,Automatic,83000,Nairobi,650000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,70000,Mombasa,730000,10,Petrol
Advan,Nissan,2014,Foreign Used,Automatic,120000,Nairobi,760000,10,Petrol
Juke,Nissan,2013,Foreign Used,Automatic,83541,Nairobi,1235000,11,Petrol
Note,Nissan,2014,Foreign Used,Automatic,68955,Mombasa,750000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,65800,Mombasa,730000,10,Petrol
March,Nissan,2013,Foreign Used,Automatic,110000,Nairobi,699000,11,Petrol
Juke,Nissan,2014,Foreign Used,Automatic,53900,Mombasa,1280000,10,Petrol
Advan,Nissan,2013,Foreign Used,Automatic,56328,Mombasa,600000,11,Petrol
Latio,Nissan,2014,Foreign Used,Automatic,78000,Mombasa,880000,10,Petrol
Serena,Nissan,2013,Foreign Used,CVT,80000,Kiambu,1080000,11,Petrol
Note,Nissan,2014,Foreign Used,Automatic,102000,Mombasa,1100000,10,Petrol
X-Trail,Nissan,2015,Foreign Used,Automatic,36190,Mombasa,2200000,9,Petrol
Tiida,Nissan,2014,Foreign Used,Automatic,78000,Mombasa,780000,10,Petrol
Juke,Nissan,2013,Foreign Used,Automatic,100000,Nairobi,1380000,11,Petrol
Teana,Nissan,2014,Foreign Used,Automatic,54213,Mombasa,1600000,10,Petrol
Wingroad,Nissan,2013,Foreign Used,Automatic,78593,Mombasa,650000,11,Petrol
Juke,Nissan,2012,Foreign Used,Automatic,81472,Mombasa,880000,12,Petrol
Note,Nissan,2014,Foreign Used,Automatic,99659,Mombasa,950000,10,Petrol
Serena,Nissan,2014,Foreign Used,Automatic,89050,Nairobi,1400000,10,Petrol
Note,Nissan,2015,Foreign Used,Automatic,96494,Nairobi,840000,9,Petrol
Sylphy,Nissan,2013,Foreign Used,Automatic,116000,Nairobi,1222222,11,Petrol
Juke,Nissan,2014,Foreign Used,Automatic,62833,Mombasa,1400000,10,Petrol
Note,Nissan,2014,Foreign Used,CVT,76101,Kiambu,790000,10,Petrol
Serena,Nissan,2014,Foreign Used,Automatic,97000,Mombasa,1370000,10,Petrol
March,Nissan,2013,Foreign Used,Automatic,79853,Mombasa,540000,11,Petrol
Note,Nissan,2014,Foreign Used,CVT,117000,Nairobi,830000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,65237,Nairobi,785000,10,Petrol
March,Nissan,2012,Foreign Used,Automatic,140000,Nairobi,550000,12,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,75000,Nairobi,1300000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,89000,Mombasa,1100000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,63125,Mombasa,2600000,10,Petrol
March,Nissan,2014,Foreign Used,Automatic,87256,Mombasa,580000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,42152,Mombasa,1200000,10,Petrol
Note,Nissan,2015,Foreign Used,Automatic,89000,Nairobi,810000,9,Petrol
Juke,Nissan,2014,Foreign Used,Automatic,90000,Nairobi,1370000,10,Petrol
Teana,Nissan,2014,Foreign Used,Automatic,111000,Nairobi,1280000,10,Petrol
Juke,Nissan,2014,Foreign Used,Automatic,58400,Mombasa,1300000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,206000,Nairobi,2100000,10,Petrol
Tiida,Nissan,2014,Foreign Used,Automatic,72036,Mombasa,850000,10,Petrol
Teana,Nissan,2015,Foreign Used,Automatic,120000,Mombasa,1350000,9,Petrol
Juke,Nissan,2014,Foreign Used,Automatic,80000,Nairobi,1299000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,75000,Nairobi,1300000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,75515,Nairobi,1250000,10,Petrol
March,Nissan,2014,Foreign Used,Automatic,98000,Mombasa,600000,10,Petrol
Teana,Nissan,2014,Foreign Used,Automatic,96500,Mombasa,1400000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,55000,Mombasa,850000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,77642,Nairobi,2458000,10,Petrol
Teana,Nissan,2013,Foreign Used,Automatic,14000,Nairobi,1450000,11,Petrol
March,Nissan,2013,Foreign Used,Automatic,65000,Mombasa,630000,11,Petrol
Teana,Nissan,2014,Foreign Used,Automatic,83689,Mombasa,1320000,10,Petrol
Fuga,Nissan,2014,Foreign Used,Automatic,39197,Nairobi,1890000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,86000,Nairobi,1250000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,77642,Nairobi,2458000,10,Petrol
Bluebird,Nissan,2014,Foreign Used,Automatic,53864,Mombasa,1250000,10,Petrol
Juke,Nissan,2014,Foreign Used,Automatic,80000,Mombasa,1560000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,85000,Mombasa,1250000,10,Petrol
Bluebird,Nissan,2007,Foreign Used,Automatic,169000,Nairobi,630000,17,Petrol
